

--------------------------------------
---

# Intro

| Script Line | Visual Guide |
|---|---|
| In 2025, the research firm NRG asked Gen Alpha kids which entertainment franchises mattered most to them. | `[CONTEXT]:` NRG (National Research Group) ek market research firm hai; 2025 mein isne kareeban 6,100 US moviegoers par study ki thi ke bachchon ko kaunsi entertainment franchises sab se ahem lagti hain. — `[ARTICLE SHOT]:` NRG "Gen Alpha at the Movies Pixels to Popcorn"; National Research Group Gen Alpha franchises study 2025; Variety Gen Alpha Roblox Minecraft study — `[B-ROLL]:` Gen Alpha kids on a couch absorbed in tablets and games. — `[SEARCH TERMS]:` Gen Alpha kids playing tablet games b-roll, children survey research footage, kids using iPad on couch — `[SOURCES]:` [Gen Alpha at the Movies: From Pixels to Popcorn](https://www.nrgmr.com/our-thinking/entertainment/gen-alpha-at-the-movies-from-pixels-to-popcorn/) [Gen Alpha Saves the Box Office?](https://assets.ctfassets.net/4ivt4uy3jinr/5SFUHC2mVnp3vB2keFC2xZ/827fd658e3e680f64da5b0b963c4afc6/NRG_Gen_Alpha_Saves_the_Box_Office_Aug_2025.pdf) |
| And the top five results were entirely video games, including Roblox and Minecraft. | `[CONTEXT]:` Yahan un top five franchises ki baat hai jo NRG study mein aayin — sab video games thay, jaise Roblox aur Minecraft. — `[B-ROLL]:` Roblox and Minecraft gameplay montage. — `[SEARCH TERMS]:` Roblox Brookhaven gameplay, Minecraft survival build gameplay, Roblox gameplay montage — `[SOURCES]:` [Gen Alpha Saves the Box Office?](https://assets.ctfassets.net/4ivt4uy3jinr/5SFUHC2mVnp3vB2keFC2xZ/827fd658e3e680f64da5b0b963c4afc6/NRG_Gen_Alpha_Saves_the_Box_Office_Aug_2025.pdf) [Gen Alpha Likes Movie Theaters More Than Older Generations](https://variety.com/2025/film/news/gen-alpha-movie-theaters-roblox-minecraft-1236502260/) |
| But not a single Disney character made the list. | `[CONTEXT]:` Yeh NRG ki top 10 franchise list ko refer karta hai jismein koi bhi Disney/Pixar princess ya classic character shaamil nahi tha. — `[ARTICLE SHOT]:` NRG Gen Alpha top 10 franchises list; Variety Gen Alpha franchises Roblox Minecraft Fortnite; NRG Franchise IQ Gen Alpha ranking — `[IMAGE]:` Disney character lineup (Elsa, Moana, Mickey) shown to imply their absence. — `[SEARCH TERMS]:` Disney princess characters lineup, Elsa Moana Mickey Mouse characters, Disney animated characters group image — `[SOURCES]:` [Gen Alpha Saves the Box Office?](https://assets.ctfassets.net/4ivt4uy3jinr/5SFUHC2mVnp3vB2keFC2xZ/827fd658e3e680f64da5b0b963c4afc6/NRG_Gen_Alpha_Saves_the_Box_Office_Aug_2025.pdf) [Gen Alpha Likes Movie Theaters More Than Older Generations](https://variety.com/2025/film/news/gen-alpha-movie-theaters-roblox-minecraft-1236502260/) |
| Because to an iPad-raised generation, the ultimate playground is Roblox, where nearly 40 million children log in every single day. | `[B-ROLL]:` Roblox gameplay from a child's point of view — avatar hangout worlds. — `[SEARCH TERMS]:` Roblox gameplay kids, Roblox avatar hangout world, Roblox Brookhaven gameplay — `[TEXT OVERLAY]:` ~40 Million Kids Daily — `[SOURCES]:` [How Many People Play Roblox 2026 \[Active Player Count\]](https://www.demandsage.com/how-many-people-play-roblox/) [Roblox Corp - Form 8-K - FY2026 (Q4 2025 Shareholder Letter)](https://www.sec.gov/Archives/edgar/data/0001315098/000131509826000009/ex991-q42025shareholder.htm) |
| And their biggest star is a YouTuber named MrBeast, whose channel has more subscribers than the entire population of the United States. | `[CONTEXT]:` MrBeast (Jimmy Donaldson) YouTube ka sab se bara creator hai; May 2026 tak uske 490 million se zyada subscribers thay — jo poori US aabadi se zyada hai. — `[ARTICLE SHOT]:` MrBeast most subscribed YouTube channel subscribers; MrBeast subscriber count exceeds US population; Wikipedia MrBeast subscriber milestone — `[B-ROLL]:` MrBeast YouTube channel page and thumbnails; kids watching MrBeast on a tablet. — `[SEARCH TERMS]:` MrBeast YouTube channel thumbnails, kids watching MrBeast tablet, MrBeast video compilation — `[TEXT OVERLAY]:` 490M+ Subscribers — `[SOURCES]:` [How many subscribers does MrBeast have: 2026 Data | WEEX Questions](https://www.weex.com/questions/article/how-many-subscribers-does-mrbeast-have-2026-data-13264) [List of most-subscribed YouTube channels - Wikipedia](https://en.wikipedia.org/wiki/List_of_most-subscribed_YouTube_channels) |
| Which means Disney's century-old playbook of using blockbuster movies to build lifelong emotional attachment is suddenly broken. | `[B-ROLL]:` Classic Disney animated-film montage and the Walt Disney Pictures castle logo. — `[SEARCH TERMS]:` Walt Disney Pictures castle logo, classic Disney animation montage, Disney movie theater audience children — `[SOURCES]:` [Gen Alpha at the Movies: From Pixels to Popcorn](https://www.nrgmr.com/our-thinking/entertainment/gen-alpha-at-the-movies-from-pixels-to-popcorn/) |
| Yet those legacy characters remain the absolute foundation of Disney's theme parks and merchandise. | `[CONTEXT]:` "Legacy characters" se murad Disney ke purane mashhoor characters hain — jaise princesses aur Mickey Mouse — jin par parks aur merchandise khari hai. — `[B-ROLL]:` Disney character meet-and-greets at the parks and Disney merchandise shelves. — `[SEARCH TERMS]:` Disney character meet and greet park, Disney store merchandise shelves, Disney princess merchandise toys — `[SOURCES]:` [The Walt Disney Company Reports Fourth Quarter and Full Year Earnings for Fiscal 2025](https://thewaltdisneycompany.com/press-releases/the-walt-disney-company-reports-fourth-quarter-and-full-year-earnings-for-fiscal-2025/) |
| And together, those physical experiences generate nearly 70% of the company's total profit. | `[CONTEXT]:` Yeh statistic Disney ke Experiences division (theme parks, cruises, merchandise) ko refer karta hai, jo company ke operating profit ka bara hissa banata hai (FY2025 mein record $10 billion). — `[ARTICLE SHOT]:` Disney Experiences record 10 billion operating income FY2025; Disney FY2025 earnings parks profit share; Disney 8-K experiences operating income — `[B-ROLL]:` A packed Walt Disney World — Cinderella Castle and the parade. — `[SEARCH TERMS]:` Walt Disney World crowds castle, Disney park parade footage, Magic Kingdom packed crowd — `[TEXT OVERLAY]:` ~70% of Profit — `[SOURCES]:` [The Walt Disney Company Reports Fourth Quarter and Full Year Earnings for Fiscal 2025](https://thewaltdisneycompany.com/press-releases/the-walt-disney-company-reports-fourth-quarter-and-full-year-earnings-for-fiscal-2025/) |
| So in 2023, the studio committed $60 billion to expand those parks over the next decade. | `[ARTICLE SHOT]:` Disney 60 billion parks expansion 10 years; Disney doubling parks capital expenditure announcement; Disney Plans to Expand Investment in Parks — `[B-ROLL]:` Construction cranes over a Disney park expansion site. — `[SEARCH TERMS]:` Disney park construction cranes, theme park expansion construction site, Disney World construction footage — `[TEXT OVERLAY]:` $60 Billion — `[SOURCES]:` [Disney Plans to Expand Parks Investment, Doubling Capital Expenditures Over 10 Years](https://thewaltdisneycompany.com/news/disney-plans-to-expand-investment-in-parks-business/) |
